texto,calificacion,tipo_lugar,fuente,fecha,lugar,polaridad
"No le doy excelente ya que cuando llegaron por nosotros hubo una confusión y nos tenían programado un tour diferente, sin embargo, después de algunas llamadas se pudo resolver. Después de ello, todo fue perfecto! Fernando fue en todo momento el mejor guía, y más, considerando que no era la ruta que él tenía programada, aún así nos acompañó en todo momento y nos resolvió y ayudó en absolutamente todo!!",4.0,parque,civitatis,06/13/2025,Excursión a los puentes colgantes de Arenal + Aguas termales,positiva
"Hemrich, nuestro guía fue súper atento, con disponibilidad de tiempo para disfrutar las atracciones y la comida muy Rica!!! Súper recomendable dado",5.0,parque,civitatis,09/16/2022,Excursión a los puentes colgantes de Arenal + Aguas termales,positiva
"Un día completo, con una visión bastante buena del volcán y su historia, además de la visita a los jardines de Lankestet. Recomendable. Los guías muy amables y atentos.",4.0,parque,civitatis,03/24/2026,"Excursión al Volcán Irazú, Valle de Orosi y Jardines Lankester",positiva
"Visita a Irazú, Cartago y Jardín Botánico Lankester. Nuestro guía Kevin y el conductor Fernando fueron amables, atentos a todo y nos hicieron sentir muy cómodos durante todo el recorrido. Las explicaciones de Kevin fueron excelentes: claras, interesantes y llenas de información útil sobre la historia, la naturaleza y la cultura del lugar. Gracias a ellos, la excursión fue una experiencia inolvidable y muy bien organizada.",5.0,parque,civitatis,10/18/2025,"Excursión al Volcán Irazú, Valle de Orosi y Jardines Lankester",positiva
"Excursión muy recomendable. Tanto el Volcán Irazú, como el valle de Pepsi son espectaculares. También está muy bien el Jardín Botánico Lankester. Excelente atención e información del GuÍa Gary. Buen trabajo del conductor Ricardo. Para disfrutar de la naturaleza.",5.0,parque,civitatis,01/28/2020,"Excursión al Volcán Irazú, Valle de Orosi y Jardines Lankester",positiva
Hicimos la excursión completa con Daniel! Y nos lo pasamos súper bien! La recomiendo! Añadiría hacienda orosi después de comer para remate final y llegar e irse a la cama después de un día estupendo!,5.0,parque,civitatis,10/30/2025,"Excursión al Volcán Irazú, Valle de Orosi y Jardines Lankester",positiva
"puntualidad en la recogida, trato muy agradable y explicaciones interesantes, la comida en un sitio muy bonito y rica. mi única pega, muy poco tiempo en la Basílica",4.0,parque,civitatis,09/26/2025,"Excursión al Volcán Irazú, Valle de Orosi y Jardines Lankester",positiva
"Genial tour! Mauricio fue un excelente guia, muy acogedor, nos explico todo con detalle, dentro del parque nos ayudo a buscar animalitos y luego tuvimos como 3h por nuestra cuenta. Es un tour bonito, lo unico que al volver a San Jose estuvimos 5h en trafico así que no llegamos hasta las 8:30 de la noche. Tened en cuenta esto.",5.0,parque,civitatis,05/04/2026,Excursión al Parque Nacional Manuel Antonio,positiva
"Una excursión aconsejable, aunque cansada por la distancia. El parque Manuel Antonio es espectacular, con una vegetación y unas playas impresionantes. El guía Marco muy amable y cercano, con total disposición a lo que nos interesase. Tanto el desayuno, como la comida, muy bien.",4.0,parque,civitatis,03/26/2026,Excursión al Parque Nacional Manuel Antonio,positiva
"El parque nos gustó mucho,: su vegetación, y pisar el Pacífico, y hubiera sido genial si ese día no hubiera llovido tanto. A mejorar mucho los aseos para ducharse.",4.0,parque,civitatis,04/01/2026,Excursión al Parque Nacional Manuel Antonio,positiva
"Merece la pena si tienes poco tiempo y quieres ver playas increíbles y vida salvaje, si tienes más tiempo lo ideal sería quedarse uno o dos días en algún hotel del parque para evitar tantas horas de coche en un día. Por lo demás, la atención del guía, Charlton, genial, muy amena y muy instructiva, y la organización perfecta, paradas, tiempos, comidas muy buenas y abundantes..",5.0,parque,civitatis,02/24/2023,Excursión al Parque Nacional Manuel Antonio,positiva
"En general muy buena, la recogida tuvo un percance y se demoraron casi una hora de más de la hora acordada. Muy difícil de visualizar algún perezoso, la playa magnífica y el guía personal (Marcos) que fue a la vezl chófer, y animador de todo el viaje excelente en todos los sentidos !!!",4.0,parque,civitatis,03/03/2025,Excursión al Parque Nacional Manuel Antonio,positiva
Estupenda excursiones y guía muy experto que nos ayudó en ver muchos animales. Para una mejora sugeriría una parada al atardecer en el pueblo de Jaco que se notaba precioso. Por lo demás todo excelente.,4.0,parque,civitatis,06/26/2021,Excursión al Parque Nacional Manuel Antonio,positiva
"Nuestra experiencia en la hacienda Doka, Grecia y Sarchi empezando por el Volcán Poás con el guía HAROLD fue excepcional. Fué muy profesional, su camioneta impecable y muy conocedor y siempre estuvo atento a nuestras preguntas. Nos hizo sentir muy seguros y disfrutamos cada momento del recorrido. ¡Lo recomendamos al 100%! Pensamos volver y quisiéramos tener más tours con el.",5.0,parque,civitatis,04/05/2026,"Excursión a la Hacienda Doka, Grecia y Sarchí",positiva
Fue muy amena e interesante,5.0,parque,civitatis,04/21/2026,"Excursión a la Hacienda Doka, Grecia y Sarchí",positiva
"Transporte puntual, Roger el guía excelente, con conocimiento del historia y de los temas del tour . Almuerzo bien.",5.0,parque,civitatis,12/05/2025,"Excursión a la Hacienda Doka, Grecia y Sarchí",positiva
Muy interesante!,5.0,parque,civitatis,10/20/2025,"Excursión a la Hacienda Doka, Grecia y Sarchí",positiva
"Superó mis expectativas. Hayro Hernández nuestro guía fue empático, amable y demostró mucho conocimiento del tour. Súper recomendado! Gracias!",5.0,parque,civitatis,04/13/2025,"Excursión a la Hacienda Doka, Grecia y Sarchí",positiva
Muy buena Jorge Esquivel fue un excelente guía con mucho conocimiento y dedicado 100% a su actividad cumplió todo lo prometido además de una excelente charla,5.0,parque,civitatis,01/02/2025,Tour de aventura en el bosque lluvioso,positiva
"Amaral o Ama como él nos ha pedido q le llamemos es un Gran Profesional, hemos disfrutado del tour como hacía tiempo q no lo hacíamos con un tour de este tipo, nos ha tenido atentos todo el tiempo porque todo lo q contaba y cómo lo contaba era súper interesante. Muy divertido, muy didáctico, con mucho conocimiento de la ciudad, su historia, su gente, un montón de rincones... Grande. Por cierto nos ha contado q en el mercado central tiene un tour basado en la gastronomía, tiene q ser una pasada.",5.0,parque,civitatis,02/16/2026,Free tour por San José,positiva
"Nos ha encantado conocer San José, un tour muy ameno que te cuenta la historia de la Ciudad y del país.",5.0,parque,civitatis,07/08/2026,Free tour por San José,positiva
El tour fue muy interesante y te permite conocer la historia de Costa Rica. Un trayecto muy agradable conociendo diferentes puntos de la ciudad de San José.,5.0,parque,civitatis,04/23/2026,Free tour por San José,positiva
"el gia lo da todo, es un tico autentico... pura vida",5.0,parque,civitatis,04/22/2026,Free tour por San José,positiva
"Hemos terminado encantados con Amaral!lo ha explicado todo de una manera tan sencilla q hasta los niños estaban pendientes de cada cosa q contaba,ameno , divertido ,de los mejores tours q hemos estado. Recomendado100%",5.0,parque,civitatis,04/22/2026,Free tour por San José,positiva
"El tour estuvo bien, nos contaron sobre la historia de San Jose. El guia fue simpatico, lo unico que nos repitio varias veces que se tiene que dejar propina aunque sea un free tour, ya era mi intención pero que lo repitan tanto parece que solo quieran el dinero. Al principio del tour el guia paraba a turistas por la calle por si querian unirse y me parecio un poco fuera de lugar.",4.0,parque,civitatis,05/02/2026,Free tour por San José,positiva
"Visita al centro histórico de San José con entrada al Museo Nacional. El guía, David fue muy ameno, buenas explicaciones, divertido y transmisor de la historia de Costa Rica. Tour totalmente recomendable para conocer ese país.",5.0,parque,civitatis,07/19/2026,Free tour por San José,positiva
"Muy bien, David nos enseña un San José diferente... Y muy interesante.",4.0,parque,civitatis,06/21/2026,Free tour por San José,positiva
"Un guía amable y el circuito completo para hacerte una buena idea de la historia de San José. Eramos 3 personas y, al ser pocos, todo muy cercano y fácil.",4.0,parque,civitatis,03/27/2026,Free tour por San José,positiva
Todo correcto. Trato muy amable con el guía. Gran profesional,5.0,parque,civitatis,03/23/2026,Free tour por San José,positiva
El tour tiene buena intención pero lo que ves depende de las condiciones climáticas. No vimos nada del Turrialba,4.0,parque,civitatis,04/14/2025,Excursión a los volcanes Turrialba e Irazú,positiva
"Muy demorada la salida de San José, recogiendo cuarenta y cuatro turistas",3.0,parque,civitatis,12/27/2025,Transporte a La Fortuna,neutral
"Lo pasamos muy bien, los guías fueron muy profesionales, bajar el Pacuare es una experiencia genial que recomendaríamos a todos los visitantes, además el desayuno y la comida estuvieron muy buenos, aunque eche en falta alguna opción vegetariana, ya que lo avisé anticipadamente.",5.0,parque,civitatis,03/11/2026,Rafting en el río Pacuare,positiva
"Divertido, vistas espectaculares y sobre todo, mucha adrenalina. Repetiría.",5.0,parque,civitatis,01/15/2026,Rafting en el río Pacuare,positiva
"Extraordinaria actividad, pura adrenalina y bello entorno. Equipo muy profesional de guías y plena seguridad",5.0,parque,civitatis,08/14/2021,Rafting en el río Pacuare,positiva
"Fuimos por nuestra cuenta a la actividad, el guía que nos tocó, Carlos, majisimo, súper profesional. El desayuno y comida rico y abundante",5.0,parque,civitatis,08/14/2021,Rafting en el río Pacuare,positiva
De 10! Actividad imprescindible.,5.0,parque,civitatis,04/13/2025,Rafting en el río Pacuare,positiva
"Recogida en el hotel, el viaje de ida un poco pesado pero la parada del desayuno mereció la pena. El alojamiento fue casi perfecto, salvo que no había aire acondicionado ni nevera, ventanas inexistentes, se oye todo, pero la ubicación es preciosa, la comida rica, la cama cómoda, la habitación grande, actividades opcionales chulas aunque tuvimos mala suerte con el recepcionista de la tarde, tras varios intentos para contratarlas... nuestro guía es el mejor, vimos monos, caimanes, lapas, etc.",5.0,parque,civitatis,06/04/2026,Tour de 2 o 3 días por el Parque Nacional Tortuguero,positiva
"Fue maravilloso.Es una belleza de lugar y que paz se disfruta. Sin duda,nos hubiera gustado quedarnos más tiempo",5.0,parque,civitatis,04/02/2026,Tour de 2 o 3 días por el Parque Nacional Tortuguero,positiva
"La actividad como tal bien, nuestro guía fue muy atento y amable en todo momento. Laguna Lodge se cataloga cómo un hotel de tres estrellas pero no tiene el mantenimiento que debería tener. Las comidas eran de bastante mala calidad y no se veía una higiene adecuada. Todo aquello que no estaba tapado estaba lleno de diferentes clases de insectos, estaría bien que sabiendo la problemática taparan la comida.",3.0,parque,civitatis,08/22/2024,Tour de 2 o 3 días por el Parque Nacional Tortuguero,neutral
"Guia Mario.... muy bueno Wifi en las casetas de arriba malisimo, todo por lo general bien.",5.0,parque,civitatis,11/12/2025,Tour de 2 o 3 días por el Parque Nacional Tortuguero,positiva
"Fue una experiencia única. Echamos de menos más información respecto a cada actividad, nos hubiera gustado que estuviera más detallada antes de llegar al punto de encuentro, para saber qué ropa y calzado serían más apropiados.",4.0,parque,civitatis,07/20/2025,Tour de 2 o 3 días por el Parque Nacional Tortuguero,positiva
"Muy bien, todo lo incluido en el programa. Pero la megafonía es regular y no entiendo que el bus no lleve aire acondicionado",4.0,parque,civitatis,08/22/2025,Tour panorámico por San José,positiva
El guía es un apasionado y nos lo ha hecho pasar muy bien,4.0,parque,civitatis,01/03/2023,Tour panorámico por San José,positiva
"Una visita muy completa y un guía, Jordan, muy bueno. Al igual que el conductor, aunque no recuerdo su nombre. Muy recomendable.",5.0,parque,civitatis,09/21/2022,Tour panorámico por San José,positiva
"Bien explicada por la guía,tuvimos mala suerte que por culpa del covid no pudiésemos entrar en varios sitios",4.0,parque,civitatis,12/19/2021,Tour panorámico por San José,positiva
Tour muy recomendable para conocer la capital de costa rica,5.0,parque,civitatis,08/29/2019,Tour panorámico por San José,positiva
"Fue una gran caminata, con datos históricos y mitos sobre la historia Costarricense, Alejando fue muy ameno al platicar las cosas y muy agradable. Tal vez solo sería la recomendación de o estar muy cerca del guía para escuchar, ya que muchos lugares emblemáticos están sobre vías concurridos por autos, o bien que Ale trajera un pequeño megáfono o bocina. Pero de verdad que lo recomiendo mucho, muy increíble 10/10",5.0,parque,civitatis,07/10/2026,Tour de los crímenes de San José,positiva
Excelente guía!!! Súper recomendado.,5.0,parque,civitatis,07/10/2026,Tour de los crímenes de San José,positiva
"Me encantó el tour, aprendí muchísimo de mi país y súper interesante! Alejandro es un excelente guía y mega recomendado! Estuvo muy muy bueno, lo disfrutamos y hasta con recomendación de café incluido!",5.0,parque,civitatis,11/07/2025,Tour de los crímenes de San José,positiva
Max nuestro guía nos llevó a través del parque dando una explicación certera de lo que veríamos. El lugar increíble aún con lluvia vale 100% la pena,5.0,parque,civitatis,07/23/2026,Excursión a los Jardines de la catarata La Paz,positiva
Maravilhosa. Nosso guia Kevin é o motorista Sérgio foram muito gentis e solícitos . Comida farta e saborosa. Parque limpo e natureza exuberante.Traducir la opinión a español,5.0,parque,civitatis,01/12/2026,Excursión a los Jardines de la catarata La Paz,positiva
"La excursión fue muy buena, y los sitios preciosos aunque no fue lo que yo reservé, nosotros ibamos a ver el río celeste y acabamos viendo las cataratas gemelas, concretamente la catarata del Toro por lo demás todo genial, guía muy amable y simpático y la comida también muy buena.",4.0,parque,civitatis,11/12/2021,"Catarata La Paz, río Celeste y aguas termales",positiva
"Fantástica excursión, maravilloso bosque, y la catarata del Río Agrio nos ha quitado el aliento. Maravilloso. Gracias también al guía Jorge que fue super amable. Totalmente recomendable",5.0,parque,civitatis,06/28/2021,"Catarata La Paz, río Celeste y aguas termales",positiva
"Basta bien, el tour no se dio según lo que compramos pero hubieron muchas cosas buenas como la caminata a las cascadas las gemelas, el almuerzo, la demostración y degustación de café . Nos habría gustado poder estar más tiempo en las cascadas ya que solo nos dieron unos 20 minutos para estar ahí.",4.0,parque,civitatis,04/18/2025,"Catarata La Paz, río Celeste y aguas termales",positiva
"El tour original no era muy interesante, pero la flexibilidad de nuestro guía Hermich nos permitió aprovecharlo al máximo. Ingresamos a las Cataratas La Paz (un zoológico completísimo), y luego nos recuperamos de la caminata en las aguas termales. Pero insisto, el tour original es muy superficial para lo que podría ser.",5.0,parque,civitatis,09/19/2022,"Catarata La Paz, río Celeste y aguas termales",positiva
Lo mas Bello del mundo. Gracias a Johnny. el hizo el tour marvelous !!!,5.0,parque,civitatis,06/07/2024,"Catarata La Paz, río Celeste y aguas termales",positiva
Solo recomendable si te interesa ver cocodrilos y ya has visitado otros lugares del país. El hotel de Jacó de la segunda mitad de la excursión es una experiencia de playa nada reseñable (quizá te interese si te gusta el surf y puedes alquilar una tabla).,3.0,parque,civitatis,08/17/2024,Avistamiento de cocodrilos en el río Tárcoles,neutral
"Excelente, me recogieron desde el piso en el que estaba alojado. Durante el camino, mi guía Ronny fue muy atento en todo y me fue explicando mil detalles de Costa Rica, luego fuimos al tour en bote por el río y vimos muchos cocodrilos y muchas aves. Una comida rica frente a la playa y regreso a casa. 10/10",5.0,parque,civitatis,11/29/2022,Avistamiento de cocodrilos en el río Tárcoles,positiva
"Excursión estupenda con los dos guías, tanto Abdul como el chico que nos guió durante el recorrido en el río Tárcoles, se agradece mucho contar con guías tan bien preparados y agradables. La excursión muy bien organizada, nos dieron agua, en el hotel el guía incluso nos dio toallas cuando fuimos a la playa lo cual agradecimos muchísimo y se puso a nuestra disposición en cuanto a los tiempos. Un 10.",5.0,parque,civitatis,05/14/2022,Avistamiento de cocodrilos en el río Tárcoles,positiva
Muy buena experiencia.,5.0,parque,civitatis,10/01/2023,Avistamiento de cocodrilos en el río Tárcoles,positiva
"Tanto el guía como el conductor fueron muy amables y el trayecto fue seguro. La actividad fue bien pero no vimos ni una sola tortuga, deberían avisar que para ver el desove hay que ir de noche y no es fácil tener la suerte para verlas. Tanto el desayuno como la comida que incluía la excursión estaba muy rica.",4.0,parque,civitatis,09/28/2024,Excursión al Parque Nacional Tortuguero,positiva
"Genial la excursión de un día al parque nacional de Tortuguero. Disfrutamos de un viaje en furgoneta, un desayuno completo, una caminata por el Cerro de Tortuguero y una visita a su pueblo junto con un almuerzo caribeño. Nuestro guía, Arturo, un hombre sabio, con conocimiento de la fauna y flora, y con un sentido del humor único. Muy gracioso y con mucha experiencia. Muchas gracias. Muy recomendable.",5.0,parque,civitatis,03/23/2024,Excursión al Parque Nacional Tortuguero,positiva
"La actividad es recomendable. Los guías se ajustan al tiempo y permiten dar una visión general del Parque. Cosas importantes a tener en cuenta: viaje en coche desde San José a allí son 3h de ida y 3h de vuelta a descontar del tiempo de la actividad. Depende de la temporada, podrás ver más o menos animales. Cosas a mejorar: Tiempo libre Cosas a destacar: Todos los tiempos se cumplieron a la perfección. El guía Manuel y el conductor Juan tuvieron un trato bueno y amenizaron el viaje.",4.0,parque,civitatis,02/03/2024,Excursión al Parque Nacional Tortuguero,positiva
"Increíble. Lo mejor Berni, nuestro guía, que no paró de decirnos datos de Costa Rica ni hacernos vivir experiencias en todo el día. Durante el camino en carretera ya vimos perezosos, cogimos rambutanes y buscamos ""strawberry frogs"". Es un día ultra completo que se hace ameno por todo lo que se aprende. El desayuno costarricense muy completo y la comida (influenciada por la cocina jamaicana) deliciosa. A pesar de ser noviembre el tiempo fue inmejorable. Y Luis el conductor otro 10!",5.0,parque,civitatis,11/01/2023,Excursión al Parque Nacional Tortuguero,positiva
"La actividad fue inmejorable. Fuimos 6 personas en furgoneta y nos hizo muy buen tiempo (supongo que el cuento cambia mucho si hace malo). Nuestro guía, Alvar, lo dió todo! Se nota que le gusta lo que hace. El camino de ida se hace algo intenso pero él lo ameniza bastante, te va explicando cosas y va parando varias veces (vimos una plantación de piñas, tortugas, iguanas...). El paseo en lancha es espectacular, tuvimos suerte y vimos caimanes, monos, todo tipo de aves. Comida y desayuno bien.",5.0,parque,civitatis,12/29/2022,Excursión al Parque Nacional Tortuguero,positiva
Un tour muy entretenido y divertido…El personal super simpáticos y agradables nos hicieron sentir atendidas y cuidadas en todo momento. Música en directo y continuamente te ofrecen fruta y bebidas y un ceviche muy rico. Totalmente recomendable,5.0,parque,civitatis,02/19/2026,Excursión a Isla Tortuga,positiva
"Buena organización. Todo muy bien explicado, la comida bien para ser en mitad de una playa y la animación en el catamaran correcta. Al regreso el capitán se desvió un poco para ver unas ballenas que pasaban por ahí así que tuvimos experiencia doble. La isla está muy bien de paisaje pero el agua no es tan cristalina y turquesa como dicen. No es Caribe. En general muy recomendable.",5.0,parque,civitatis,09/05/2024,Excursión a Isla Tortuga,positiva
"El viaje bien organizado con recogida puntual, el paisaje natural hasta la isla precioso y la atención muy buena, lastima que la playa sea pedregosa a diferencia de las que existen en el parque Manuel Antonio",4.0,parque,civitatis,03/04/2025,Excursión a Isla Tortuga,positiva
Fue un día excelente. Tanto el paseo en el catamaran como el ratito en la playa que se nos acabó haciendo corto. Todo el personal fue muy amable y estuvo muy atento a cualquier cosa que pudiésemos necesitar.,5.0,parque,civitatis,08/24/2024,Excursión a Isla Tortuga,positiva
"Fue una experiencia genial! Que repetiría y recomendaría a ojos cerrados. Nuestro guía a rayan y TODA la tripulación a bordo y en la isla fue de encanto. Melissa, Eduardo, el capitán y todos los muchachos nos hicieron sentir como en casa y con ganas de volver",5.0,parque,civitatis,04/20/2026,Excursión a Isla Tortuga,positiva
Magnifico tour. Arturo es un guía bien informado y experimentado. Nos adapto el tour a nuestros gustos y conocimos personas estupendas. Lo recomiendo sin duda!,5.0,parque,civitatis,02/06/2021,Tour privado por San José,positiva
"Muy lindo recorrido, la mejor predisposición y ganas de Daniel, nuestro guía, nos llevó por todos lados, nos dió muy buenas reseñas de los lugares y pudimos conocer con él muchas costumbres de los ricos! Graciasss",5.0,parque,civitatis,01/10/2025,Tour privado por San José,positiva
"Es importante este tipo de tours para enseñar la realidad de las cosas con la vida silvestre y, de ser verdad que hacen rescates, rehabilitaciones y liberación; es un buen insentivo económico estos recorridos para que continúen con su labor. Y los animalitos son preciosos!",5.0,parque,civitatis,08/10/2023,Excursión al Toucan Rescue Ranch,positiva
"Hermosa actividad, donde se aprende muchísimo sobre conservación y protección de fauna silvestre.",5.0,parque,civitatis,09/14/2022,Excursión al Toucan Rescue Ranch,positiva
"Kevin encantador, estuvo fenomenal",5.0,parque,civitatis,03/29/2026,Visita guiada por San José,positiva
Muy dinámica y cómoda ver la ciudad en Tour com bus.,4.0,parque,civitatis,08/05/2024,Visita guiada por San José,positiva
"El guía Sergio muy amable, hacía que todo fuera más entretenido. Lamento, eso sí, que el paso por el Teatro Nacional sea solo al lobby.",5.0,parque,civitatis,02/07/2020,Visita guiada por San José,positiva
"Felipe fue excelente, muy servicial y amable. La dinámica, explicación, paradas. Muy buena actividad. Nos gusto mucho.",5.0,parque,civitatis,06/12/2025,Tour en bicicleta por San José,positiva
"Alex es una persona muy chida, tiene muy buen conocimiento de la ciudad con muy buenas recomendaciones para otras actividades y la cata de café le da un súper plus al recorrido, lo recomiendo!",5.0,parque,civitatis,03/14/2025,Tour en bicicleta por San José,positiva
"Raquel fue una excelente guía, nos acompañó durante más de tres horas y nos mostró las maravillas naturales de la zona. Quedamos muy contentos con su explicación, pasión por la concientización y la conservación de la naturaleza. Logramos ver varias aves y hasta tres perezosos y seguimos buscando hasta dar con uno bien visible.",5.0,parque,civitatis,02/17/2025,Avistamiento de aves y perezosos en San José,positiva
"Raquel como guía ha sido estupenda, con mucha conciencia y vínculo con la naturaleza. Ha sabido transmitir y compartir sus conocimientos y amor a la naturaleza. Hemos tenido suerte y pudimos disfrutar de una buena cantidad de animales y plantas, sorprendentes en este espacio urbano. Súper recomendable y emocionante!",5.0,parque,civitatis,07/02/2024,Avistamiento de aves y perezosos en San José,positiva
"Increible , Filis un montón de perezosos, un bebé también con la madre y otro que ya lambaste lo había dejado solo. Aprendió a mucho sobre la vida cotidiana de esta especie tan singular recorriendo una zona de San José poco conocida. Visitamos un mariposario y vimos algunas especies de pájaros locales , muy recomendable. Gracias",5.0,parque,civitatis,08/15/2023,Avistamiento de aves y perezosos en San José,positiva
"Un agradable paseo por los jardines del campus de la universidad de Costa Rica acompañada de Luis guía biólogo quién me dió unas magníficas explicaciones sobre la flora, insectos, aves y perezosos que observamos. Tour de naturaleza muy recomendable en el mismo San José",5.0,parque,civitatis,08/04/2022,Avistamiento de aves y perezosos en San José,positiva
Incre8ble la gauna urbana que hay en san jose. El guia espectacular. Super,5.0,parque,civitatis,05/25/2025,Avistamiento de aves y perezosos en San José,positiva
"Excursión agradable, el volcán estaba totalmente cubierto, pero el paseo hasta allí bonito. El cafetal y la experiencia de la preparación del café interesante. Y terminar en la cascada, muy bonita. Cierto que si te toca un día nublado, no lo recomiendo, mejor aprovechar el día en la playa o algún otro parque.",4.0,parque,civitatis,06/02/2026,"Volcán Poás, Catarata de La Paz y finca de café",positiva
"La visita al Volcán Poás depende totalmente de la visibilidad. Con frecuencia es imposible ver el cráter por la niebla. En nuestro caso lo vimos por pura suerte. Conviene decirlo claro: si no se ve el cráter, la actividad no justifica el precio. Las actividades anexas que se ofrecen no compensan ni aportan valor real; son de relleno. Sin visibilidad, el coste del viaje pierde sentido y debería gestionarse mejor la expectativa o contemplarse una alternativa/compensación.",5.0,parque,civitatis,01/10/2026,"Volcán Poás, Catarata de La Paz y finca de café",positiva
"La excursión ha estado muy bien pero señalar que el minibus resulta algo incómodo cuando va lleno, como hoy así ha sido con 10 personas.",4.0,parque,civitatis,03/30/2026,"Volcán Poás, Catarata de La Paz y finca de café",positiva
"Charly un gran profesional, hemos aprendido mucho con él. Personalmente me lo he pasado fenomenal, hemos visto lugares preciosos y nos ha cuidado y guiado como pollitos. Merece mucho la pena. Gracias",5.0,parque,civitatis,02/14/2026,"Volcán Poás, Catarata de La Paz y finca de café",positiva
Salió todo perfecto: nuestro guía Carlos cuidó cada detalle. Grandísimo profesional.,5.0,parque,civitatis,01/14/2026,"Volcán Poás, Catarata de La Paz y finca de café",positiva
"Puntualidad, organización, explicaciones, comida, transporte, atención, trato, paisajes, guía y chofer EXCELENTES. Todo acorde con nuestras expectativas. Felicidades. Gracias.",5.0,parque,civitatis,05/13/2026,"Volcán Poás, Catarata de La Paz y finca de café",positiva
"Muy buen tour, el guía excelente, fue una experiencia agradable y enriquecedora",5.0,parque,civitatis,02/07/2026,"Volcán Poás, Catarata de La Paz y finca de café",positiva
